
Quadro extraído em 04 de Outubro de 2023 (23:52:46)
http://www.ine.pt



Localização geográfica (NUTS - 2013) (1) ;Museus (N.º) por Localização geográfica (NUTS - 2013) -  Anual;;;;;;;;;;Visitantes (N.º) de museus por Localização geográfica (NUTS - 2013) -  Anual;;;;;;;;;;
;Período de referência dos dados;;;;;;;;;;Período de referência dos dados;;;;;;;;;;
;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;
;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;
16J0908: Manteigas;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
16J0909: Mêda;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
16J0910: Pinhel;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;? ?;? ?;0;
16J0911: Sabugal;1;1;1;2;2;0;0;0;1;1;0;5019;5811;8886;3200;0;0;0;? ?;? ?;
16J0912: Seia;3;3;2;3;2;2;2;2;3;3;0;40407;10804;77647;18315;15708;17089;18053;17248;? ?;
16J0913: Trancoso;1;1;1;1;1;0;0;0;0;0;0;5728;4069;11333;8465;0;0;0;0;0;
17: Área Metropolitana de Lisboa;84;86;83;87;93;85;80;75;80;75;0;2884040;2414292;9425594;9295543;8007593;7366513;6559141;5850505;5507574;
170: Área Metropolitana de Lisboa;84;86;83;87;93;85;80;75;80;75;0;2884040;2414292;9425594;9295543;8007593;7366513;6559141;5850505;5507574;
1701502: Alcochete;1;1;1;1;1;1;1;1;1;1;0;? ?;856;? ?;2682;2775;3373;3712;? ?;3053;
1701503: Almada;2;2;3;3;5;5;5;2;2;2;0;3536;2819;? ?;32802;30258;21429;14930;? ?;11109;
1701115: Amadora;2;2;2;2;2;2;2;2;2;2;0;2512;2578;7220;8079;9964;7526;6467;? ?;10859;
1701504: Barreiro;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
1701105: Cascais;8;8;8;8;8;6;5;5;5;5;0;55416;46503;162283;122150;74060;125663;104679;185042;190622;
1701106: Lisboa;44;44;43;45;48;43;44;43;45;41;0;1643471;1467091;5401722;5452664;4514504;4365835;3965015;3573429;3272142;
1701107: Loures;3;3;3;3;3;3;3;3;2;0;0;3786;3086;20036;18955;13143;11180;12803;? ?;0;
1701109: Mafra;1;1;1;2;3;3;3;2;3;4;0;108517;131017;371105;364161;402922;368344;326461;282363;254518;
1701506: Moita;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
1701507: Montijo;1;1;1;1;1;1;1;1;2;1;0;1335;2258;9999;15980;2019;4880;2767;? ?;7759;
1701116: Odivelas;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
1701110: Oeiras;1;1;1;1;1;1;1;1;1;1;0;1713;1531;5473;7042;5719;8492;2741;? ?;? ?;
1701508: Palmela;2;2;1;1;1;1;1;1;1;1;0;? ?;8856;18637;9289;16620;16477;24309;? ?;14203;
1701510: Seixal;1;1;1;1;1;1;1;1;1;1;0;10904;8098;28184;27383;33901;29702;27244;? ?;35602;
1701511: Sesimbra;1;1;1;1;1;1;1;1;1;1;0;116838;98941;206312;228326;213452;212968;212386;? ?;142038;
1701512: Setúbal;4;4;4;4;4;3;4;4;5;5;0;57534;36888;75688;70598;47636;28169;35917;41082;46522;
1701111: Sintra;10;11;10;11;11;11;5;5;5;7;0;819989;584577;3044617;2883669;2581039;2110204;1810653;1518905;? ?;
1701114: Vila Franca de Xira;3;4;3;3;3;3;3;3;4;3;0;16708;19193;59352;51763;59581;52271;9057;66855;101580;
18: Alentejo;55;55;55;60;59;67;64;64;59;42;0;333827;287821;956253;873018;927230;857952;595164;510357;495497;
181: Alentejo Litoral;4;4;4;5;5;6;6;7;7;6;0;10136;5968;24608;25909;28418;24985;47316;40065;39420;
1811501: Alcácer do Sal;0;0;1;2;2;3;3;3;3;1;0;0;? ?;? ?;? ?;10642;9968;? ?;11801;1500;
1811505: Grândola;2;2;1;1;1;1;1;1;2;2;0;? ?;? ?;? ?;? ?;? ?;? ?;? ?;? ?;? ?;
1810211: Odemira;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
1811509: Santiago do Cacém;1;1;1;1;1;1;1;2;1;2;0;? ?;? ?;4865;6859;? ?;? ?;23292;? ?;? ?;
1811513: Sines;1;1;1;1;1;1;1;1;1;1;0;4007;2140;5951;? ?;10321;7146;10846;? ?;? ?;
184: Baixo Alentejo;12;13;13;11;12;14;13;14;12;12;0;44441;35362;111183;102656;100759;101893;130189;85670;64997;
1840201: Aljustrel;0;1;1;1;1;1;1;1;1;1;0;937;1435;2497;2005;1825;1015;3552;? ?;? ?;
1840202: Almodôvar;2;2;1;0;0;0;0;0;0;1;0;3987;1369;0;0;0;0;0;0;2131;
1840203: Alvito;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;? ?;450;0;0;0;
1840204: Barrancos;1;1;1;1;1;1;1;1;1;1;0;321;267;? ?;? ?;? ?;631;641;? ?;474;
1840205: Beja;1;1;1;2;2;3;2;4;4;5;0;1200;200;30752;28052;25950;? ?;48806;44435;? ?;
1840206: Castro Verde;2;2;2;2;2;2;2;2;2;1;0;? ?;? ?;? ?;? ?;? ?;? ?;? ?;? ?;4534;
1840207: Cuba;1;1;1;0;0;0;0;0;0;0;0;? ?;? ?;0;0;0;0;0;0;0;
1840208: Ferreira do Alentejo;1;1;1;1;1;1;1;1;1;0;0;2555;1976;5863;8959;3660;5615;4652;? ?;0;
1840209: Mértola;1;1;1;1;1;1;1;1;0;0;0;20184;15619;42900;40897;46426;? ?;? ?;0;0;
1840210: Moura;1;1;1;1;1;1;1;1;1;1;0;5539;3164;6276;5432;6014;10875;6599;? ?;8626;
1840212: Ourique;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
1840213: Serpa;1;1;2;1;1;1;1;2;1;0;0;4261;? ?;15796;? ?;5972;5544;? ?;? ?;0;
1840214: Vidigueira;1;1;1;1;2;2;2;1;1;2;0;1550;612;2037;3804;3561;5036;2295;? ?;3494;
185: Lezíria do Tejo;8;8;9;10;10;10;9;10;10;4;0;20797;16621;62581;59362;64613;58806;63149;80849;46338;
1851403: Almeirim;1;1;1;1;1;1;1;1;1;0;0;1500;? ?;? ?;2000;1907;2000;? ?;? ?;0;
1851404: Alpiarça;1;1;1;1;1;1;1;1;1;1;0;3837;3707;11503;11192;10756;9492;9164;? ?;11668;
1851103: Azambuja;1;0;0;1;1;1;1;1;1;1;0;0;0;1312;1810;3015;? ?;? ?;? ?;2018;
1851405: Benavente;0;0;1;1;1;1;1;1;0;0;0;0;0;3931;5740;4600;4450;4141;0;0;
1851406: Cartaxo;1;1;1;1;1;1;1;1;1;0;0;? ?;830;2702;? ?;5769;4034;4638;? ?;0;
1851407: Chamusca;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
1851409: Coruche;1;1;1;1;1;1;1;1;1;1;0;4228;1757;8692;8280;9339;7275;6300;? ?;7582;
1851412: Golegã;1;2;2;2;2;2;1;2;2;0;0;2636;2508;7933;5567;4066;2562;8281;? ?;0;
1851414: Rio Maior;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
1851415: Salvaterra de Magos;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
1851416: Santarém;2;2;2;2;2;2;2;2;3;1;0;? ?;? ?;? ?;? ?;25161;? ?;? ?;48047;25070;
186: Alto Alentejo;15;15;13;17;17;17;16;16;14;10;0;66990;51062;113027;85292;82110;100868;96392;52883;50099;
1861201: Alter do Chão;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
1861202: Arronches;1;1;0;0;0;0;0;0;0;0;0;1000;0;0;0;0;0;0;0;0;
1861203: Avis;1;1;1;1;1;1;1;2;1;1;0;920;454;2393;1449;2360;2185;2549;? ?;? ?;
1861204: Campo Maior;1;1;1;1;2;2;2;2;2;0;0;? ?;? ?;? ?;2091;2207;26573;20215;? ?;0;
1861205: Castelo de Vide;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
1861206: Crato;0;1;0;1;1;1;1;0;0;0;0;? ?;0;? ?;? ?;? ?;1842;0;0;0;
1861207: Elvas;4;4;3;4;4;4;4;4;4;4;0;29345;17512;32640;28589;27802;27908;36925;21798;24724;
1861208: Fronteira;1;0;0;1;1;1;1;1;1;0;0;0;0;1015;600;350;750;? ?;? ?;0;
1861209: Gavião;0;1;1;1;1;1;0;0;0;0;0;5236;2959;6483;? ?;3929;0;0;0;0;
1861210: Marvão;1;1;2;2;2;2;2;2;1;1;0;4952;? ?;? ?;? ?;? ?;? ?;? ?;? ?;? ?;
1861211: Monforte;0;0;0;1;1;1;1;1;1;1;0;0;0;1047;1699;? ?;? ?;? ?;? ?;559;
1861212: Nisa;1;1;1;1;1;1;1;1;1;1;0;4407;1399;2395;2320;3066;6089;4827;? ?;5034;
1861213: Ponte de Sor;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
1861214: Portalegre;3;3;3;3;3;3;3;3;3;2;0;11665;7406;19162;19091;17064;16243;15279;14510;? ?;
1861215: Sousel;1;1;1;1;0;0;0;0;0;0;0;662;514;1730;0;0;0;0;0;0;
187: Alentejo Central;16;15;16;17;15;20;20;17;16;10;0;191463;178808;644854;599799;651330;571400;258118;250890;294643;
1870701: Alandroal;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
1870702: Arraiolos;1;1;1;2;2;2;2;2;2;1;0;6687;4581;15888;12965;14690;15698;13442;? ?;4990;
1870703: Borba;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
1870704: Estremoz;2;1;1;1;1;1;1;1;1;1;0;? ?;? ?;? ?;? ?;? ?;? ?;? ?;? ?;? ?;
1870705: Évora;4;3;4;5;5;6;6;5;3;3;0;133399;117705;467288;437211;398719;341337;57247;41151;? ?;
1870706: Montemor-o-Novo;1;2;1;1;1;3;3;3;3;3;0;? ?;? ?;? ?;? ?;11024;8047;? ?;5903;? ?;
1870707: Mora;1;1;1;1;0;0;0;0;0;0;0;4334;2602;? ?;0;0;0;0;0;0;
1870708: Mourão;1;1;1;1;1;1;1;1;1;1;0;7163;9282;9939;? ?;7744;6665;8354;? ?;? ?;
1870709: Portel;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
1870710: Redondo;3;3;3;2;2;3;3;2;2;1;0;246;? ?;3457;? ?;? ?;? ?;7951;? ?;244;
1870711: Reguengos de Monsaraz;0;0;1;1;0;1;1;0;0;0;0;0;4830;13126;0;12068;10820;0;0;0;
1870712: Vendas Novas;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
1870713: Viana do Alentejo;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;? ?;0;
1870714: Vila Viçosa;3;3;3;3;3;3;3;3;3;0;0;30346;26225;70483;71022;132270;129083;127201;105987;0;
15: Algarve;15;15;15;16;17;17;16;13;12;11;0;237364;159743;627755;586702;544545;434513;361037;229662;194809;
150: Algarve;15;15;15;16;17;17;16;13;12;11;0;237364;159743;627755;586702;544545;434513;361037;229662;194809;
1500801: Albufeira;1;1;0;0;1;1;1;1;1;1;0;3003;0;0;8946;9684;8581;6346;? ?;6430;
1500802: Alcoutim;1;1;1;1;1;1;1;1;1;1;0;11045;7789;15063;15141;13650;13292;12588;? ?;13260;
1500803: Aljezur;1;1;1;1;1;1;1;1;1;1;0;707;580;1662;1739;? ?;1671;2064;? ?;2297;
1500804: Castro Marim;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
1500805: Faro;2;2;2;2;2;2;2;2;2;2;0;14876;14102;44500;32625;31109;39435;23895;? ?;32924;
1500806: Lagoa;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
1500807: Lagos;2;2;2;2;2;2;1;1;1;2;0;? ?;? ?;? ?;? ?;106880;? ?;? ?;? ?;? ?;
1500808: Loulé;2;2;2;2;2;2;2;2;2;1;0;? ?;? ?;? ?;? ?;? ?;? ?;? ?;? ?;? ?;
1500809: Monchique;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
1500810: Olhão;1;1;1;1;1;1;1;0;1;1;0;1465;856;2221;5887;8350;8350;0;? ?;? ?;
1500811: Portimão;1;1;1;1;1;1;1;1;1;1;0;25617;11252;81736;74109;58435;60591;53426;? ?;? ?;
1500812: São Brás de Alportel;1;1;1;1;1;1;1;1;1;0;0;? ?;? ?;? ?;? ?;? ?;? ?;? ?;? ?;0;
1500813: Silves;2;2;2;3;3;3;3;2;1;1;0;17512;12143;42768;46280;38400;37807;31711;? ?;24348;
1500814: Tavira;1;1;1;1;1;1;1;1;0;0;0;28943;27375;125425;107182;88459;? ?;? ?;0;0;
1500815: Vila do Bispo;0;0;1;1;1;1;1;0;0;0;0;0;4764;14889;13669;16003;15242;0;0;0;
1500816: Vila Real de Santo António;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2: Região Autónoma dos Açores;19;18;19;18;16;16;14;14;17;18;0;197720;68706;291472;261792;260975;241682;203283;185937;165195;
20: Região Autónoma dos Açores;19;18;19;18;16;16;14;14;17;18;0;197720;68706;291472;261792;260975;241682;203283;185937;165195;
200: Região Autónoma dos Açores;19;18;19;18;16;16;14;14;17;18;0;197720;68706;291472;261792;260975;241682;203283;185937;165195;
2004301: Angra do Heroísmo;1;1;1;1;1;1;1;1;1;1;0;15459;7333;27267;25410;27115;25408;18619;? ?;27372;
2004501: Calheta;1;1;1;1;1;1;1;1;1;1;0;4407;943;7352;3834;3343;2991;3184;? ?;3376;
2004901: Corvo;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2004701: Horta;3;4;3;3;2;2;3;3;3;3;0;49062;12438;58517;44006;? ?;60067;45991;38116;? ?;
2004201: Lagoa;2;2;2;2;2;2;1;1;1;1;0;? ?;? ?;? ?;? ?;12935;? ?;? ?;? ?;? ?;
2004801: Lajes das Flores;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2004601: Lajes do Pico;1;1;1;1;1;1;1;1;1;1;0;48906;16165;64905;65103;64407;52805;40118;? ?;33822;
2004602: Madalena;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2004202: Nordeste;0;0;1;0;0;0;0;0;0;0;0;0;? ?;0;0;0;0;0;0;0;
2004203: Ponta Delgada;2;2;2;2;2;2;2;2;2;3;0;53899;15028;78751;81837;77222;73230;65154;? ?;? ?;
2004204: Povoação;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2004205: Ribeira Grande;4;3;4;4;3;3;1;2;4;4;0;4089;5026;16440;12658;12753;? ?;10108;11873;9101;
2004401: Santa Cruz da Graciosa;1;1;1;1;1;1;1;1;1;1;0;5176;2535;5190;? ?;5109;5239;5625;? ?;5134;
2004802: Santa Cruz das Flores;1;1;1;1;1;1;1;1;1;1;0;5876;1388;3490;3328;? ?;330;724;? ?;1404;
2004603: São Roque do Pico;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2004502: Velas;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2004302: Vila da Praia da Vitória;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2004101: Vila do Porto;1;1;1;1;1;1;1;1;1;1;0;3051;1495;? ?;3146;2511;2577;? ?;? ?;? ?;
2004206: Vila Franca do Campo;1;1;1;1;1;1;1;0;1;1;0;? ?;1929;? ?;5475;5472;? ?;0;? ?;2062;
3: Região Autónoma da Madeira;18;17;17;18;18;19;16;16;19;17;0;187064;72095;213134;211171;262742;229049;219834;258126;192479;
30: Região Autónoma da Madeira;18;17;17;18;18;19;16;16;19;17;0;187064;72095;213134;211171;262742;229049;219834;258126;192479;
300: Região Autónoma da Madeira;18;17;17;18;18;19;16;16;19;17;0;187064;72095;213134;211171;262742;229049;219834;258126;192479;
3003101: Calheta;1;0;1;1;1;1;0;0;0;0;0;0;8957;22120;20206;16352;0;0;0;0;
3003102: Câmara de Lobos;1;1;1;1;0;0;0;0;0;0;0;3090;3203;7601;0;0;0;0;0;0;
3003103: Funchal;10;11;11;12;12;12;11;10;13;12;0;154944;43902;129119;128522;176398;161392;162191;204741;144906;
3003104: Machico;2;2;1;2;2;2;2;2;2;2;0;14062;8597;28094;33788;32158;29871;24285;? ?;21699;
3003105: Ponta do Sol;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
3003106: Porto Moniz;0;0;0;0;0;1;1;1;1;1;0;0;0;0;0;8320;10017;9782;? ?;3947;
3003201: Porto Santo;1;1;1;1;1;1;1;1;1;0;0;10052;3869;16842;17499;16754;17360;15001;? ?;0;
3003107: Ribeira Brava;1;1;1;1;1;1;1;1;1;1;0;4212;2586;9358;? ?;9960;10409;? ?;? ?;? ?;
3003108: Santa Cruz;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
3003109: Santana;1;0;0;0;1;1;0;1;1;1;0;0;0;0;? ?;2800;0;? ?;? ?;? ?;
3003110: São Vicente;1;1;1;0;0;0;0;0;0;0;0;704;981;0;0;0;0;0;0;0;

Museus (N.º) por Localização geográfica (NUTS - 2013) -  Anual - INE, Inquérito aos museus
Visitantes (N.º) de museus por Localização geográfica (NUTS - 2013) -  Anual - INE, Inquérito aos museus

Nota(s):
(1) A partir de 1 de janeiro de 2015 entrou em vigor uma nova versão das NUTS (NUTS 2013). Ao nível da NUTS II ocorreu apenas uma alteração de designação em "Lisboa" que passou a ser designada por "Área Metropolitana de Lisboa".



Última atualização destes dados: 15 de setembro de 2023


Metainformação associada ao quadro

Museus (N.º)
Designação;Museus (N.º) por Localização geográfica (NUTS - 2013) -  Anual
Periodicidade;Anual
Fonte;INE, Inquérito aos museus
Primeiro período disponível;2012
Último período disponível;2022
Dimensões
     Dimensão 1;Período de referência dos dados
     Dimensão 2;Localização geográfica (NUTS - 2013)
Conceitos
     PERÍODO DE REFERÊNCIA;Período de tempo a que a informação se refere e que pode ser um dia específico ou um intervalo de tempo (mês, ano fiscal, ano civil, entre outros).
     MUSEU;Instituição permanente, sem fins lucrativos, ao serviço da sociedade e do seu desenvolvimento, aberta ao público, que promove pesquisas relativas aos testemunhos materiais do homem e do seu meio ambiente, adquire-os, conserva-os, comunica-os e expõe-nos para estudo, educação e lazer.
Definição;
Fórmula;
Unidade de Medida (símbolo);Número (N.º)
Potência de 10;0
Data da última atualização;15-Set-2023
Visitantes (N.º) de museus
Designação;Visitantes (N.º) de museus por Localização geográfica (NUTS - 2013) -  Anual
Periodicidade;Anual
Fonte;INE, Inquérito aos museus
Primeiro período disponível;2012
Último período disponível;2021
Dimensões
     Dimensão 1;Período de referência dos dados
     Dimensão 2;Localização geográfica (NUTS - 2013)
Conceitos
     PERÍODO DE REFERÊNCIA;Período de tempo a que a informação se refere e que pode ser um dia específico ou um intervalo de tempo (mês, ano fiscal, ano civil, entre outros).
     MUSEU;Instituição permanente, sem fins lucrativos, ao serviço da sociedade e do seu desenvolvimento, aberta ao público, que promove pesquisas relativas aos testemunhos materiais do homem e do seu meio ambiente, adquire-os, conserva-os, comunica-os e expõe-nos para estudo, educação e lazer.
     VISITANTE DO MUSEU;Pessoa que visita as exposições, utiliza os serviços disponíveis (biblioteca, centro de documentação, reservas, entre outros), e/ou frequenta as atividades realizadas no museu (concertos e conferências, entre outros).
Definição;
Fórmula;
Unidade de Medida (símbolo);Número (N.º)
Potência de 10;0
Data da última atualização;04-Out-2022
