
Quadro extraído em 04 de Outubro de 2023 (23:52:46)
http://www.ine.pt



Localização geográfica (NUTS - 2013) (1) ;Museus (N.º) por Localização geográfica (NUTS - 2013) -  Anual;;;;;;;;;;Visitantes (N.º) de museus por Localização geográfica (NUTS - 2013) -  Anual;;;;;;;;;;
;Período de referência dos dados;;;;;;;;;;Período de referência dos dados;;;;;;;;;;
;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;
;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;
11A1316: Vila do Conde;0;0;1;1;1;1;1;1;1;0;0;0;? ?;? ?;? ?;? ?;? ?;? ?;? ?;0;
11A1317: Vila Nova de Gaia;4;4;3;3;3;3;3;3;3;2;0;13986;13450;48156;36265;36013;42702;34351;40378;23993;
11B: Alto Tâmega;6;7;6;6;4;5;4;3;3;5;0;51253;57521;99157;64221;67445;65689;44330;58885;? ?;
11B1702: Boticas;1;1;1;1;0;0;0;0;1;0;0;? ?;727;? ?;0;0;0;0;? ?;0;
11B1703: Chaves;4;4;4;3;2;3;2;1;1;3;0;38940;? ?;56087;22195;21283;20307;? ?;? ?;24272;
11B1706: Montalegre;0;1;1;1;1;1;1;1;1;1;0;? ?;? ?;? ?;? ?;41840;? ?;? ?;? ?;? ?;
11B1709: Ribeira de Pena;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
11B1712: Valpaços;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
11B1713: Vila Pouca de Aguiar;1;1;0;1;1;1;1;1;0;1;0;1513;0;? ?;? ?;4322;? ?;2800;0;4240;
11C: Tâmega e Sousa;8;7;7;6;6;6;6;7;8;8;0;39370;36666;69977;72745;69975;62510;61474;57319;51017;
11C1301: Amarante;1;1;1;1;1;1;1;1;2;2;0;11141;9756;22327;28348;23288;19980;14212;? ?;? ?;
11C1302: Baião;1;2;2;2;2;2;2;2;2;2;0;? ?;? ?;? ?;? ?;? ?;? ?;? ?;? ?;? ?;
11C0106: Castelo de Paiva;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
11C0305: Celorico de Basto;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
11C1804: Cinfães;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;? ?;? ?;1623;
11C1303: Felgueiras;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
11C1305: Lousada;2;1;2;0;0;0;0;0;0;0;0;3567;? ?;0;0;0;0;0;0;0;
11C1307: Marco de Canaveses;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
11C1309: Paços de Ferreira;2;2;1;2;2;2;2;2;2;2;0;? ?;895;? ?;? ?;? ?;? ?;8454;? ?;5654;
11C1311: Penafiel;1;1;1;1;1;1;1;1;1;1;0;14367;7973;24377;24039;23159;21147;18755;? ?;16195;
11C1813: Resende;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
11D: Douro;14;14;13;15;18;19;19;17;16;15;0;143340;105433;345288;335423;412078;412586;306240;264322;327877;
11D1701: Alijó;2;1;1;1;2;2;2;2;2;2;0;8359;3610;22500;? ?;? ?;? ?;? ?;? ?;? ?;
11D1801: Armamar;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
11D0403: Carrazeda de Ansiães;0;0;0;0;2;2;2;2;1;0;0;0;0;0;2125;1988;1951;2702;? ?;0;
11D0404: Freixo de Espada à Cinta;1;1;0;0;0;0;0;0;1;0;0;800;0;0;0;0;0;0;? ?;0;
11D1805: Lamego;0;0;1;1;1;1;1;1;1;1;0;0;7770;46496;38467;44152;44082;28684;? ?;25093;
11D1704: Mesão Frio;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
11D1807: Moimenta da Beira;0;0;0;0;0;1;1;1;1;1;0;0;0;0;0;? ?;? ?;? ?;? ?;? ?;
11D1707: Murça;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
11D1812: Penedono;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
11D1708: Peso da Régua;1;1;1;1;1;1;1;1;1;1;0;21239;14575;56767;53728;140412;154295;77195;? ?;? ?;
11D1710: Sabrosa;1;1;1;1;1;1;1;0;0;0;0;3493;3719;7861;6937;6970;8700;0;0;0;
11D1711: Santa Marta de Penaguião;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
11D1815: São João da Pesqueira;2;2;2;2;2;2;2;1;1;2;0;3111;2590;? ?;7280;8726;5500;7200;? ?;? ?;
11D1818: Sernancelhe;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
11D1819: Tabuaço;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
11D1820: Tarouca;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
11D0409: Torre de Moncorvo;1;1;1;1;1;1;1;1;1;0;0;? ?;? ?;? ?;? ?;? ?;? ?;? ?;? ?;0;
11D0914: Vila Nova de Foz Côa;2;2;2;2;2;2;2;2;1;2;0;? ?;? ?;? ?;? ?;? ?;? ?;? ?;? ?;? ?;
11D1714: Vila Real;4;5;4;6;6;6;6;6;6;6;0;63643;32321;152971;142125;140976;135011;128578;117978;114814;
11E: Terras de Trás-os-Montes;12;12;12;11;10;11;11;10;9;9;0;66158;48101;132776;134164;126207;104174;104751;116952;? ?;
11E0401: Alfândega da Fé;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
11E0402: Bragança;5;5;5;5;5;5;5;5;4;5;0;47371;33255;100186;125909;110184;88117;87771;101972;? ?;
11E0405: Macedo de Cavaleiros;3;2;2;2;2;2;2;2;2;2;0;? ?;? ?;? ?;3331;? ?;? ?;? ?;? ?;? ?;
11E0406: Miranda do Douro;1;1;1;1;0;1;1;1;1;1;0;7225;6297;18493;0;? ?;4500;10850;? ?;? ?;
11E0407: Mirandela;1;2;2;1;1;1;1;0;0;0;0;5418;3038;4520;1772;3729;4413;0;0;0;
11E0408: Mogadouro;1;1;1;1;1;1;1;1;1;0;0;1150;? ?;? ?;1571;? ?;? ?;? ?;? ?;0;
11E0410: Vila Flor;1;1;1;1;1;1;1;1;1;0;0;? ?;701;1685;1581;2557;1919;1624;? ?;0;
